,ticker,name,industry,sub-industry,date_added,cik,found_year
231,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015-11-02,1645590,2015
232,HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-06-19,1585689,1919
233,HOLX,Hologic,Health Care,Health Care Equipment,2016-03-30,859737,1985
234,HD,The Home Depot,Consumer Discretionary,Home Improvement Retail,1988-03-31,354950,1978
235,HON,Honeywell,Industrials,Industrial Conglomerates,1964-03-31,773840,1906
236,HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,2009-03-04,48465,1891
237,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,2007-03-20,1070750,1993
238,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1964-03-31,4281,2016
239,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1974-12-31,47217,1939 (2015)
240,HUM,Humana,Health Care,Managed Health Care,,49071,1961
241,HBAN,Huntington Bancshares,Financials,Regional Banks,,49196,1866
242,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2018-01-03,1501585,2011
243,IBM,IBM,Information Technology,IT Consulting & Other Services,1957-03-04,51143,1911
244,IEX,IDEX Corporation,Industrials,Industrial Machinery,2019-08-09,832101,1988
245,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2017-01-05,874716,1983
246,ITW,Illinois Tool Works,Industrials,Industrial Machinery,1986-02-28,49826,1912
247,ILMN,Illumina,Health Care,Life Sciences Tools & Services,2015-11-19,1110803,1998
248,INCY,Incyte,Health Care,Biotechnology,2017-02-28,879169,1991
249,IR,Ingersoll Rand,Industrials,Industrial Machinery,2020-03-03,1699150,1859
250,INTC,Intel,Information Technology,Semiconductors,1976-12-31,50863,1968
251,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2007-09-26,1571949,2000
252,IP,International Paper,Materials,Paper Packaging,1957-03-04,51434,1898
253,IPG,The Interpublic Group of Companies,Communication Services,Advertising,1992-10-01,51644,1961 (1930)
254,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,1976-03-31,51253,1958 (1889)
255,INTU,Intuit,Information Technology,Application Software,2000-12-05,896878,1983
256,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2008-06-02,1035267,1995
257,IVZ,Invesco,Financials,Asset Management & Custody Banks,2008-08-21,914208,1935
258,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2017-08-29,1478242,1982
259,IRM,Iron Mountain,Real Estate,Specialized REITs,2009-01-06,1020569,1951
260,JBHT,J.B. Hunt,Industrials,Trucking,2015-07-01,728535,1961
261,JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,2018-11-13,779152,1976
262,J,Jacobs Engineering Group,Industrials,Construction & Engineering,2007-10-26,52988,1947
263,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1973-06-30,200406,1886
264,JCI,Johnson Controls,Industrials,Building Products,2010-08-27,833444,1885
265,JPM,JPMorgan Chase,Financials,Diversified Banks,1975-06-30,19617,2000 (1799 / 1871)
266,JNPR,Juniper Networks,Information Technology,Communications Equipment,2006-06-02,1043604,1996
267,K,Kellogg's,Consumer Staples,Packaged Foods & Meats,1989-09-11,55067,1906
268,KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks,2022-06-21,1418135,1981
269,KEY,KeyCorp,Financials,Regional Banks,1994-03-01,91576,1825
270,KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,2018-11-06,1601046,2014
271,KMB,Kimberly-Clark,Consumer Staples,Household Products,1957-03-04,55785,1872
272,KIM,Kimco Realty,Real Estate,Retail REITs,2006-04-04,879101,1958
273,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2012-05-25,1506307,1997
274,KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,,319201,1975/1977 (1997)
275,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2015-07-06,1637459,2015 (1869)
276,KR,Kroger,Consumer Staples,Food Retail,1957-03-04,56873,1883
277,LHX,L3Harris,Industrials,Aerospace & Defense,2008-09-22,202058,2019 (1895)
278,LH,LabCorp,Health Care,Health Care Services,2004-11-01,920148,1978
279,LRCX,Lam Research,Information Technology,Semiconductor Equipment,2012-06-29,707549,1980
280,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2018-12-03,1679273,2016 (1950)
281,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,2019-10-03,1300514,1988
282,LDOS,Leidos,Industrials,Diversified Support Services,2019-08-09,1336920,1969
283,LEN,Lennar,Consumer Discretionary,Homebuilding,2005-10-04,920760,1954
284,LNC,Lincoln Financial,Financials,Multi-line Insurance,1976-06-30,59558,1905
285,LIN,Linde plc,Materials,Industrial Gases,1992-07-01,1707925,1879
286,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,2019-12-23,1335258,2010
287,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2016-05-23,1065696,1998
288,LMT,Lockheed Martin,Industrials,Aerospace & Defense,1984-07-31,936468,1995
289,L,Loews Corporation,Financials,Multi-line Insurance,,60086,1959
290,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,1984-02-29,60667,1904/1946/1959
291,LUMN,Lumen Technologies,Communication Services,Alternative Carriers,1999-03-25,18926,1983 (1877)
292,LYB,LyondellBasell,Materials,Specialty Chemicals,2012-09-05,1489393,2007
293,MTB,M&T Bank,Financials,Regional Banks,2004-02-23,36270,1856
294,MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,1991-05-01,101778,1887
295,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,2011-07-01,1510295,2009 (1887)
296,MKTX,MarketAxess,Financials,Financial Exchanges & Data,2019-07-01,1278021,2000
297,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,1048286,1927
298,MMC,Marsh McLennan,Financials,Insurance Brokers,1987-08-31,62709,1905
299,MLM,Martin Marietta Materials,Materials,Construction Materials,2014-07-02,916076,1993
300,MAS,Masco,Industrials,Building Products,1981-06-30,62996,1929
301,MA,Mastercard,Information Technology,Data Processing & Outsourced Services,2008-07-18,1141391,1966
302,MTCH,Match Group,Communication Services,Interactive Media & Services,2021-09-20,891103,1986
303,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2003-03-20,63754,1889
304,MCD,McDonald's,Consumer Discretionary,Restaurants,1970-06-30,63908,1940
305,MCK,McKesson,Health Care,Health Care Distributors,,927653,1833
306,MDT,Medtronic,Health Care,Health Care Equipment,1986-10-31,1613103,1949
307,MRK,Merck & Co.,Health Care,Pharmaceuticals,1957-03-04,310158,1891
308,META,Meta Platforms,Communication Services,Interactive Media & Services,2013-12-23,1326801,2004
